bvmc_id,nombre,wikidata_uri,pais,sexo,imagen,ano_nacimiento,ano_fallecimiento,generos
1724,Fanny Lewald,http://www.wikidata.org/entity/Q77318,Alemania,femenino,http://commons.wikimedia.org/wiki/Special:FilePath/Fanny%20Lewald.jpg,1811,1889,
1343,Lena Christ,http://www.wikidata.org/entity/Q77925,Alemania,femenino,http://commons.wikimedia.org/wiki/Special:FilePath/Lena%20Christ.jpg,1881,1920,
1764,Dorothea Tieck,http://www.wikidata.org/entity/Q78356,Alemania,femenino,http://commons.wikimedia.org/wiki/Special:FilePath/Dorothea%20Tieck.jpg,1799,1841,
66092,Emily Brontë,http://www.wikidata.org/entity/Q80137,Reino Unido,femenino,http://commons.wikimedia.org/wiki/Special:FilePath/Emily%20Bront%C3%AB%20by%20Patrick%20Branwell%20Bront%C3%AB%20restored.jpg,1818,1848,
22400,Juana de Habsburgo-Jagellón,http://www.wikidata.org/entity/Q84459,Austria,femenino,http://commons.wikimedia.org/wiki/Special:FilePath/Francesco%20Terzio%20006.jpg,1547,1578,
2378,Ida  Hahn-Hahn,http://www.wikidata.org/entity/Q92101,Alemania,femenino,http://commons.wikimedia.org/wiki/Special:FilePath/Ida%20Gr%C3%A4fin%20Hahn-Hahn.jpg,1805,1880,
2378,Ida  Hahn-Hahn,http://www.wikidata.org/entity/Q92101,Alemania,femenino,http://commons.wikimedia.org/wiki/Special:FilePath/Ida%20Gr%C3%A4fin%20von%20Hahn-Hahn.jpg,1805,1880,
1353,Marie von Ebner-Eschenbach,http://www.wikidata.org/entity/Q93525,Austria,femenino,http://commons.wikimedia.org/wiki/Special:FilePath/Ebner-Eschenbach.jpg,1830,1916,novela social#cuento#teatro#novela
35939,Harriet Beecher Stowe,http://www.wikidata.org/entity/Q102513,Estados Unidos,femenino,http://commons.wikimedia.org/wiki/Special:FilePath/Beecher-Stowe.jpg,1811,1896,
30272,Ursel Scheffler,http://www.wikidata.org/entity/Q108326,Alemania,femenino,,1938,,
1623,Luise Gottsched,http://www.wikidata.org/entity/Q65863,Alemania,femenino,http://commons.wikimedia.org/wiki/Special:FilePath/Gottschedin.jpg,1713,1762,
2395,Ava,http://www.wikidata.org/entity/Q66299,Alemania,femenino,,1060,1127,
2398,Christine Ebner,http://www.wikidata.org/entity/Q70684,Alemania,femenino,,1277,1356,
